"","date","topic_num","n","topic_label"
"121",2020-08-14,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"122",2020-08-15,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"123",2020-08-17,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"124",2020-08-18,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"125",2020-08-19,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"126",2020-08-20,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"127",2020-08-21,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"128",2020-08-24,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"129",2020-08-28,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"130",2020-08-31,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"131",2020-09-01,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"132",2020-09-02,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"133",2020-09-07,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"134",2020-09-08,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"135",2020-09-11,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"136",2020-09-12,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"137",2020-09-13,1,8,"Topic-1: Child-marriage and 
its impacts on education "
"138",2020-09-14,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"139",2020-09-15,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"140",2020-09-16,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"141",2020-09-17,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"142",2020-09-18,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"143",2020-09-19,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"144",2020-09-21,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"145",2020-09-22,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"146",2020-09-23,1,9,"Topic-1: Child-marriage and 
its impacts on education "
"147",2020-09-24,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"148",2020-09-25,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"149",2020-09-28,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"150",2020-09-29,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"151",2020-09-30,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"152",2020-10-01,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"153",2020-10-03,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"154",2020-10-05,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"155",2020-10-06,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"156",2020-10-07,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"157",2020-10-08,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"158",2020-10-09,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"159",2020-10-10,1,23,"Topic-1: Child-marriage and 
its impacts on education "
"160",2020-10-11,1,30,"Topic-1: Child-marriage and 
its impacts on education "
"161",2020-10-12,1,9,"Topic-1: Child-marriage and 
its impacts on education "
"162",2020-10-13,1,11,"Topic-1: Child-marriage and 
its impacts on education "
"163",2020-10-14,1,24,"Topic-1: Child-marriage and 
its impacts on education "
"164",2020-10-15,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"165",2020-10-16,1,9,"Topic-1: Child-marriage and 
its impacts on education "
"166",2020-10-17,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"167",2020-10-19,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"168",2020-10-20,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"169",2020-10-21,1,11,"Topic-1: Child-marriage and 
its impacts on education "
"170",2020-10-22,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"171",2020-10-23,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"172",2020-10-24,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"173",2020-10-25,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"174",2020-10-26,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"175",2020-10-27,1,10,"Topic-1: Child-marriage and 
its impacts on education "
"176",2020-10-28,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"177",2020-10-29,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"178",2020-10-30,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"179",2020-11-01,1,10,"Topic-1: Child-marriage and 
its impacts on education "
"180",2020-11-02,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"181",2020-11-03,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"182",2020-11-04,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"183",2020-11-05,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"184",2020-11-06,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"185",2020-11-08,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"186",2020-11-09,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"187",2020-11-10,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"188",2020-11-11,1,14,"Topic-1: Child-marriage and 
its impacts on education "
"189",2020-11-12,1,13,"Topic-1: Child-marriage and 
its impacts on education "
"190",2020-11-13,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"191",2020-11-14,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"192",2020-11-15,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"193",2020-11-16,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"194",2020-11-17,1,8,"Topic-1: Child-marriage and 
its impacts on education "
"195",2020-11-18,1,10,"Topic-1: Child-marriage and 
its impacts on education "
"196",2020-11-19,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"197",2020-11-20,1,10,"Topic-1: Child-marriage and 
its impacts on education "
"198",2020-11-21,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"199",2020-11-22,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"200",2020-11-23,1,9,"Topic-1: Child-marriage and 
its impacts on education "
"201",2020-11-24,1,11,"Topic-1: Child-marriage and 
its impacts on education "
"202",2020-11-25,1,10,"Topic-1: Child-marriage and 
its impacts on education "
"203",2020-11-26,1,16,"Topic-1: Child-marriage and 
its impacts on education "
"204",2020-11-27,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"205",2020-11-28,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"206",2020-11-29,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"207",2020-11-30,1,14,"Topic-1: Child-marriage and 
its impacts on education "
"208",2020-12-01,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"209",2020-12-02,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"210",2020-12-03,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"211",2020-12-04,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"212",2020-12-05,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"213",2020-12-06,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"214",2020-12-07,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"215",2020-12-08,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"216",2020-12-09,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"217",2020-12-10,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"218",2020-12-11,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"219",2020-12-12,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"220",2020-12-13,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"221",2020-12-14,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"222",2020-12-15,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"223",2020-12-16,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"224",2020-12-17,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"225",2020-12-18,1,15,"Topic-1: Child-marriage and 
its impacts on education "
"226",2020-12-19,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"227",2020-12-20,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"228",2020-12-21,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"229",2020-12-23,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"230",2020-12-24,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"231",2020-12-26,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"232",2020-12-27,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"233",2020-12-28,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"234",2020-12-29,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"235",2020-12-30,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"236",2020-12-31,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"237",2021-01-01,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"238",2021-01-02,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"239",2021-01-03,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"240",2021-01-04,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"241",2021-01-05,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"242",2021-01-06,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"243",2021-01-07,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"244",2021-01-08,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"245",2021-01-09,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"246",2021-01-10,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"247",2021-01-11,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"248",2021-01-12,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"249",2021-01-13,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"250",2021-01-14,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"251",2021-01-15,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"252",2021-01-16,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"253",2021-01-17,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"254",2021-01-18,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"255",2021-01-19,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"256",2021-01-20,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"257",2021-01-21,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"258",2021-01-22,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"259",2021-01-23,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"260",2021-01-24,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"261",2021-01-25,1,6,"Topic-1: Child-marriage and 
its impacts on education "
"262",2021-01-26,1,11,"Topic-1: Child-marriage and 
its impacts on education "
"263",2021-01-27,1,9,"Topic-1: Child-marriage and 
its impacts on education "
"264",2021-01-28,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"265",2021-01-29,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"266",2021-01-30,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"267",2021-01-31,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"268",2021-02-01,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"269",2021-02-02,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"270",2021-02-03,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"271",2021-02-04,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"272",2021-02-05,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"273",2021-02-06,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"274",2021-02-07,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"275",2021-02-08,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"276",2021-02-09,1,8,"Topic-1: Child-marriage and 
its impacts on education "
"277",2021-02-10,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"278",2021-02-11,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"279",2021-02-12,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"280",2021-02-13,1,7,"Topic-1: Child-marriage and 
its impacts on education "
"281",2021-02-14,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"282",2021-02-15,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"283",2021-02-16,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"284",2021-02-17,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"285",2021-02-18,1,4,"Topic-1: Child-marriage and 
its impacts on education "
"286",2021-02-19,1,2,"Topic-1: Child-marriage and 
its impacts on education "
"287",2021-02-20,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"288",2021-02-21,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"289",2021-02-22,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"290",2021-02-23,1,8,"Topic-1: Child-marriage and 
its impacts on education "
"291",2021-02-24,1,1,"Topic-1: Child-marriage and 
its impacts on education "
"292",2021-02-25,1,3,"Topic-1: Child-marriage and 
its impacts on education "
"293",2021-02-26,1,5,"Topic-1: Child-marriage and 
its impacts on education "
"294",2020-03-02,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"295",2020-03-05,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"296",2020-03-08,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"297",2020-03-09,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"298",2020-03-11,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"299",2020-03-13,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"300",2020-03-18,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"301",2020-03-19,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"302",2020-03-24,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"303",2020-03-25,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"304",2020-03-27,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"305",2020-03-28,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"306",2020-03-29,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"307",2020-03-30,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"308",2020-03-31,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"309",2020-04-01,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"310",2020-04-02,3,9,"Topic-3: Access to education 
for crisis-affected girls "
"311",2020-04-03,3,9,"Topic-3: Access to education 
for crisis-affected girls "
"312",2020-04-04,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"313",2020-04-05,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"314",2020-04-06,3,17,"Topic-3: Access to education 
for crisis-affected girls "
"315",2020-04-07,3,3,"Topic-3: Access to education 
for crisis-affected girls "
"316",2020-04-08,3,6,"Topic-3: Access to education 
for crisis-affected girls "
"317",2020-04-09,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"318",2020-04-10,3,6,"Topic-3: Access to education 
for crisis-affected girls "
"319",2020-04-11,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"320",2020-04-12,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"321",2020-04-13,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"322",2020-04-14,3,6,"Topic-3: Access to education 
for crisis-affected girls "
"323",2020-04-15,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"324",2020-04-16,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"325",2020-04-17,3,5,"Topic-3: Access to education 
for crisis-affected girls "
"326",2020-04-18,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"327",2020-04-19,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"328",2020-04-20,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"329",2020-04-21,3,6,"Topic-3: Access to education 
for crisis-affected girls "
"330",2020-04-22,3,7,"Topic-3: Access to education 
for crisis-affected girls "
"331",2020-04-23,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"332",2020-04-24,3,6,"Topic-3: Access to education 
for crisis-affected girls "
"333",2020-04-25,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"334",2020-04-26,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"335",2020-04-27,3,7,"Topic-3: Access to education 
for crisis-affected girls "
"336",2020-04-28,3,7,"Topic-3: Access to education 
for crisis-affected girls "
"337",2020-04-29,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"338",2020-04-30,3,6,"Topic-3: Access to education 
for crisis-affected girls "
"339",2020-05-01,3,5,"Topic-3: Access to education 
for crisis-affected girls "
"340",2020-05-02,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"341",2020-05-03,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"342",2020-05-04,3,7,"Topic-3: Access to education 
for crisis-affected girls "
"343",2020-05-05,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"344",2020-05-06,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"345",2020-05-07,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"346",2020-05-08,3,3,"Topic-3: Access to education 
for crisis-affected girls "
"347",2020-05-09,3,6,"Topic-3: Access to education 
for crisis-affected girls "
"348",2020-05-10,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"349",2020-05-11,3,3,"Topic-3: Access to education 
for crisis-affected girls "
"350",2020-05-12,3,18,"Topic-3: Access to education 
for crisis-affected girls "
"351",2020-05-13,3,5,"Topic-3: Access to education 
for crisis-affected girls "
"352",2020-05-14,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"353",2020-05-15,3,5,"Topic-3: Access to education 
for crisis-affected girls "
"354",2020-05-16,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"355",2020-05-18,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"356",2020-05-19,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"357",2020-05-20,3,14,"Topic-3: Access to education 
for crisis-affected girls "
"358",2020-05-21,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"359",2020-05-22,3,7,"Topic-3: Access to education 
for crisis-affected girls "
"360",2020-05-23,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"361",2020-05-25,3,7,"Topic-3: Access to education 
for crisis-affected girls "
"362",2020-05-26,3,2,"Topic-3: Access to education 
for crisis-affected girls "
"363",2020-05-27,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"364",2020-05-28,3,10,"Topic-3: Access to education 
for crisis-affected girls "
"365",2020-05-29,3,4,"Topic-3: Access to education 
for crisis-affected girls "
"366",2020-05-30,3,1,"Topic-3: Access to education 
for crisis-affected girls "
"367",2020-05-31,3,1,"Topic-3: Access to education 
for crisis-affected girls "
